Sub,Condition,Advice_deviance,Selection
101,Non-Incentivized,0.2,1
101,Non-Incentivized,0,1
101,Non-Incentivized,-0.4,-1
101,Non-Incentivized,0.4,-1
101,Non-Incentivized,-0.4,1
101,Non-Incentivized,-0.4,1
101,Non-Incentivized,-0.2,1
101,Non-Incentivized,-0.1,1
101,Non-Incentivized,-0.4,-1
101,Non-Incentivized,0.4,-1
101,Non-Incentivized,-0.2,1
101,Non-Incentivized,-0.2,-1
101,Non-Incentivized,-1.2,-1
101,Non-Incentivized,0,-1
101,Non-Incentivized,-0.2,1
101,Non-Incentivized,-0.4,-1
101,Non-Incentivized,-0.4,-1
101,Non-Incentivized,-0.4,-1
101,Non-Incentivized,0,1
101,Non-Incentivized,-0.6,-1
101,Non-Incentivized,0.4,1
101,Non-Incentivized,-0.6,1
101,Non-Incentivized,-0.4,1
101,Non-Incentivized,-0.2,1
101,Non-Incentivized,0.2,-1
101,Non-Incentivized,-0.8,1
101,Non-Incentivized,-0.8,1
101,Non-Incentivized,-0.6,-1
101,Non-Incentivized,0.6,-1
101,Non-Incentivized,-0.4,-1
101,Non-Incentivized,0.2,-1
101,Non-Incentivized,-0.4,-1
101,Non-Incentivized,0.4,1
101,Non-Incentivized,0,-1
101,Non-Incentivized,0.4,-1
102,Non-Incentivized,-0.4,1
102,Non-Incentivized,-0.2,-1
102,Non-Incentivized,-0.1,-1
102,Non-Incentivized,-0.4,-1
102,Non-Incentivized,0,-1
102,Non-Incentivized,-0.4,1
102,Non-Incentivized,-0.2,1
102,Non-Incentivized,-0.1,1
102,Non-Incentivized,-0.4,-1
102,Non-Incentivized,0.4,-1
102,Non-Incentivized,-0.2,-1
102,Non-Incentivized,-0.2,-1
102,Non-Incentivized,-1.2,1
102,Non-Incentivized,0,1
102,Non-Incentivized,0.2,1
102,Non-Incentivized,0.6,-1
102,Non-Incentivized,0.6,-1
102,Non-Incentivized,0.6,-1
102,Non-Incentivized,0,1
102,Non-Incentivized,-0.6,1
102,Non-Incentivized,0.2,-1
102,Non-Incentivized,-0.6,-1
102,Non-Incentivized,-0.4,1
102,Non-Incentivized,-0.2,1
102,Non-Incentivized,-0.1,1
102,Non-Incentivized,-0.4,1
102,Non-Incentivized,0,1
102,Non-Incentivized,-0.4,-1
102,Non-Incentivized,0.6,-1
102,Non-Incentivized,-0.4,-1
102,Non-Incentivized,0.2,1
102,Non-Incentivized,-0.4,1
102,Non-Incentivized,0.4,1
102,Non-Incentivized,0,1
102,Non-Incentivized,-0.6,1
